chromosome	CDS_start	CDS_end	new_end	Filter
UN	33066784	33294941	33092867	PASS
LG18-21	91265631	91266676	7263340	Not Valid
LG6	91265631	91266676	17373242	Not Valid
LG13	91265631	91266676	17009641	Not Valid
LG7	14869106	14931638	14875178	PASS
LG8	1496537	1504038	1503253	PASS
LG1A	91265631	91266676	13848974	Not Valid
LG7	19610252	19623893	19614952	PASS
UN	91265631	91266676	65701547	Not Valid
LG7	18375154	18376095	18375295	PASS
UN	55870559	56098613	56052658	PASS
LG13	20530043	20532385	20532351	PASS
LG2	3253770	3628110	3585189	PASS
UN	91265631	91266676	91157427	Not Valid
LG19	91265631	91266676	692150	Not Valid
LG1B	3288852	3293422	3292780	PASS
LG8	91265631	91266676	9527079	Not Valid
LG8	21930236	21938380	21938221	PASS
LG20	91265631	91266676	12794861	Not Valid
LG16	91265631	91266676	10227461	Not Valid
UN	91265631	91266676	86714097	Not Valid
LG16	91265631	91266676	12184509	Not Valid
LG14	9645579	9856558	9651368	PASS
UN	91265631	91266676	86254813	Not Valid
LG1B	10767400	10798639	10768086	PASS
LG4	17017786	17034682	17024202	PASS
LG17	91265631	91266676	7714548	Not Valid
LG11	3845661	3855878	3851115	PASS
UN	91265631	91266676	4221970	Not Valid
LG4	91265631	91266676	16196412	Not Valid
LG14	91265631	91266676	3469609	Not Valid
LG12	15754161	15780838	15778278	PASS
LG14	91265631	91266676	17798711	Not Valid
LG9	91265631	91266676	12576383	Not Valid
LG5	91265631	91266676	29955049	Not Valid
UN	91265631	91266676	78201699	Not Valid
LG13	91265631	91266676	4429782	Not Valid
LG12	91265631	91266676	18412691	Not Valid
LG22-25	2805655	2820800	2813612	PASS
LG15	20370438	20447575	20445435	PASS
LG18-21	1429621	1434957	1433856	PASS
UN	91265631	91266676	82413558	Not Valid
LG1A	91265631	91266676	18428199	Not Valid
LG13	91265631	91266676	18485117	Not Valid
LG22-25	91265631	91266676	651767	Not Valid
LG20	91265631	91266676	7535765	Not Valid
LG13	17904263	17914862	17910304	PASS
LG15	91265631	91266676	19147252	Not Valid
LG9	1121895	1123758	1122374	PASS
LG13	964513	984695	982957	PASS
LG1A	91265631	91266676	20723067	Not Valid
UN	91265631	91266676	80333769	Not Valid
LG16	91265631	91266676	12861567	Not Valid
UN	91265631	91266676	48930266	Not Valid
UN	91265631	91266676	82372788	Not Valid
UN	40680046	40682383	40680271	PASS
LG2	91265631	91266676	5612001	Not Valid
LG10	20091235	20120927	20119584	PASS
LG10	91265631	91266676	11879944	Not Valid
UN	96564583	96571865	96571704	PASS
LG19	4414441	4416895	4415591	PASS
UN	91265631	91266676	7048829	Not Valid
LG14	91265631	91266676	2415371	Not Valid
UN	84221305	84255765	84248383	PASS
LG19	10214034	10216366	10215521	PASS
LG16	24788118	24789724	24789603	PASS
LG10	91265631	91266676	6156090	Not Valid
LG15	91265631	91266676	12703701	Not Valid
LG11	1756547	1761260	1759736	PASS
UN	91265631	91266676	3829356	Not Valid
LG13	91265631	91266676	19343521	Not Valid
LG5	91265631	91266676	15050725	Not Valid
LG14	91265631	91266676	658539	Not Valid
LG7	11184488	11187337	11186049	PASS
UN	91265631	91266676	80757857	Not Valid
UN	91265631	91266676	29840509	Not Valid
UN	16166231	16459472	16276413	PASS
LG8	91265631	91266676	9052480	Not Valid
LG1B	91265631	91266676	13708731	Not Valid
LG20	26325640	26326862	26325969	PASS
LG13	91265631	91266676	27445125	Not Valid
LG12	91265631	91266676	21388260	Not Valid
UN	89662831	89666759	89664043	PASS
LG10	768077	772727	772422	PASS
LG1B	91265631	91266676	13867927	Not Valid
UN	91265631	91266676	59327441	Not Valid
LG18-21	91265631	91266676	7776478	Not Valid
UN	91265631	91266676	5753928	Not Valid
LG3	110741	118911	117325	PASS
LG6	91265631	91266676	17401124	Not Valid
LG9	5558635	5787253	5612412	PASS
LG15	91265631	91266676	23182732	Not Valid
LG10	23350403	23366159	23365312	PASS
UN	22934376	22938622	22935009	PASS
UN	22006018	22253144	22013824	PASS
LG20	91265631	91266676	7512320	Not Valid
LG18-21	7144648	7154045	7151320	PASS
LG10	91265631	91266676	21120879	Not Valid
UN	91265631	91266676	18945785	Not Valid
UN	91010075	91017409	91015098	PASS
LG20	91265631	91266676	16427259	Not Valid
LG14	91265631	91266676	15852725	Not Valid
LG12	91265631	91266676	16325162	Not Valid
LG9	11535550	11536352	11536192	PASS
LG12	8293725	8309390	8294829	PASS
LG4	20468452	20505749	20502367	PASS
LG13	91265631	91266676	21203229	Not Valid
LG7	10129112	10139169	10137883	PASS
LGx	91265631	91266676	15492433	Not Valid
UN	91265631	91266676	3290862	Not Valid
LG19	12676723	12773346	12750901	PASS
LG9	8346597	8364610	8362621	PASS
LG1B	91265631	91266676	8716826	Not Valid
UN	18609480	18614877	18611097	PASS
LG6	91265631	91266676	3183253	Not Valid
LG12	91265631	91266676	20415597	Not Valid
LG2	91265631	91266676	14475066	Not Valid
UN	68824395	68829008	68827111	PASS
LG13	91265631	91266676	21836341	Not Valid
LG1A	91265631	91266676	6226916	Not Valid
LG12	13732351	13753225	13732573	PASS
LG22-25	5709503	5722968	5711935	PASS
UN	91265631	91266676	94257018	Not Valid
LG2	14360043	14376423	14369941	PASS
UN	91265631	91266676	30195319	Not Valid
LG12	20043880	20047011	20045057	PASS
UN	91265631	91266676	72413007	Not Valid
UN	32722831	32738466	32732951	PASS
LG15	91265631	91266676	23970868	Not Valid
UN	91265631	91266676	61037195	Not Valid
LG10	13407841	13411842	13408621	PASS
UN	91265631	91266676	74803720	Not Valid
UN	91265631	91266676	21808885	Not Valid
LG15	91265631	91266676	16599880	Not Valid
UN	15717983	16167386	16150790	PASS
LG12	91265631	91266676	17383534	Not Valid
LG11	19089400	19092727	19090067	PASS
UN	91265631	91266676	64427299	Not Valid
LG1A	91265631	91266676	23333746	Not Valid
UN	81152639	81374355	81249532	PASS
LG7	4063734	4094012	4088816	PASS
LG1B	91265631	91266676	6670187	Not Valid
LG14	91265631	91266676	12086080	Not Valid
UN	61808410	61822998	61810411	PASS
LG5	91265631	91266676	28857390	Not Valid
UN	91265631	91266676	88673491	Not Valid
UN	91265631	91266676	62477949	Not Valid
UN	49231976	49250734	49238525	PASS
UN	70183472	70191333	70190600	PASS
UN	91265631	91266676	78792320	Not Valid
LG10	91265631	91266676	15359385	Not Valid
LG1B	91265631	91266676	2812142	Not Valid
UN	91265631	91266676	14638610	Not Valid
LG20	91265631	91266676	4125884	Not Valid
UN	91265631	91266676	93471082	Not Valid
UN	91265631	91266676	33882185	Not Valid
UN	86375579	86381865	86379160	PASS
LG11	21439119	21717778	21668308	PASS
UN	91265631	91266676	31211347	Not Valid
LG12	91265631	91266676	11967691	Not Valid
LG17	91265631	91266676	18379623	Not Valid
LG9	91265631	91266676	20823915	Not Valid
LG4	91265631	91266676	26401163	Not Valid
UN	91265631	91266676	45988559	Not Valid
LG12	91265631	91266676	1813419	Not Valid
UN	199479	286230	210327	PASS
LG22-25	13236633	13237985	13237464	PASS
UN	43688963	43703462	43692258	PASS
UN	91265631	91266676	17568887	Not Valid
LG7	91265631	91266676	14086043	Not Valid
LG14	91265631	91266676	10036488	Not Valid
UN	19564198	19569281	19568969	PASS
LG16	91265631	91266676	22135109	Not Valid
LG1B	5496035	5519973	5518743	PASS
UN	17658925	17682781	17662247	PASS
UN	91265631	91266676	68333154	Not Valid
LG7	26621389	26628621	26625310	PASS
LG18-21	91265631	91266676	14908841	Not Valid
LG7	11832351	11841119	11835562	PASS
UN	10813353	10814170	10814088	PASS
LG13	14117877	14124046	14118826	PASS
UN	90763570	90766406	90765348	PASS
LG12	91265631	91266676	13622392	Not Valid
UN	91265631	91266676	68829011	Not Valid
LGx	13165620	13176273	13169174	PASS
LG19	91265631	91266676	15056199	Not Valid
UN	16593467	16608823	16596354	PASS
UN	62570492	62735682	62620050	PASS
LG10	10593516	10608428	10608028	PASS
LG8	13770006	13826123	13823400	PASS
LG11	4479523	4483151	4482483	PASS
UN	62570492	62735682	62673773	PASS
LG15	91265631	91266676	14883810	Not Valid
LG8	91265631	91266676	17470638	Not Valid
UN	91265631	91266676	82830067	Not Valid
UN	91265631	91266676	57294349	Not Valid
UN	91265631	91266676	84628414	Not Valid
LG16	91265631	91266676	8959900	Not Valid
UN	91265631	91266676	59697551	Not Valid
LG6	91265631	91266676	9667898	Not Valid
LG5	91265631	91266676	20417937	Not Valid
LG14	91265631	91266676	12899537	Not Valid
LG2	91265631	91266676	21923644	Not Valid
UN	91265631	91266676	73216040	Not Valid
UN	91265631	91266676	89230964	Not Valid
LG10	20640462	20644043	20642813	PASS
LG2	9564509	9566823	9566593	PASS
UN	91265631	91266676	31588595	Not Valid
UN	91265631	91266676	67401474	Not Valid
LG20	11253790	11406473	11372435	PASS
LG22-25	91265631	91266676	12107275	Not Valid
LG7	26494975	26500734	26498202	PASS
UN	91265631	91266676	49419543	Not Valid
LG9	6530626	6533687	6531766	PASS
UN	91265631	91266676	64360829	Not Valid
UN	91265631	91266676	56677969	Not Valid
UN	30091396	30094832	30092279	PASS
LG6	91265631	91266676	3322843	Not Valid
UN	25202473	25316316	25226499	PASS
UN	1638800	1641176	1639860	PASS
LG6	23474583	23483612	23475584	PASS
UN	91265631	91266676	67900534	Not Valid
LG22-25	91265631	91266676	20616283	Not Valid
UN	38415818	38629962	38492774	PASS
UN	91265631	91266676	86868385	Not Valid
LG9	21149868	21169598	21169459	PASS
UN	11405865	11408671	11406722	PASS
UN	64194976	64197227	64195453	PASS
UN	91265631	91266676	89144562	Not Valid
UN	75003618	75027625	75016841	PASS
UN	91265631	91266676	30894859	Not Valid
LG15	91265631	91266676	10615380	Not Valid
LG7	91265631	91266676	2999214	Not Valid
UN	91265631	91266676	96551317	Not Valid
LG6	17418716	17430216	17420016	PASS
UN	28825239	28834334	28826980	PASS
LG22-25	12261842	12267243	12265899	PASS
LG5	14748849	14780987	14753394	PASS
LG11	21439119	21717778	21664891	PASS
LG20	91265631	91266676	2739047	Not Valid
LG22-25	91265631	91266676	20780501	Not Valid
UN	91265631	91266676	52083777	Not Valid
LG7	25670749	25702327	25677446	PASS
LG1A	91265631	91266676	3570950	Not Valid
LG13	91265631	91266676	22694791	Not Valid
UN	44532361	44542090	44535383	PASS
LG20	5110852	5116090	5114760	PASS
LG19	12739461	12750898	12747574	PASS
LG12	16673347	16685919	16678818	PASS
UN	91265631	91266676	76391253	Not Valid
UN	91265631	91266676	58424128	Not Valid
LG15	4448502	4477204	4471194	PASS
LG1B	12599838	12611052	12610606	PASS
UN	91265631	91266676	63394983	Not Valid
LG14	1433262	1480285	1465828	PASS
UN	91265631	91266676	22388020	Not Valid
LG17	12900959	12915891	12915743	PASS
LG16	91265631	91266676	11622894	Not Valid
LG22-25	91265631	91266676	17377611	Not Valid
LG10	91265631	91266676	2609497	Not Valid
LG20	4176134	4187861	4186906	PASS
LG7	91265631	91266676	11190351	Not Valid
LG4	91265631	91266676	19200375	Not Valid
LG18-21	3726773	3744477	3742075	PASS
LG16	8064857	8088477	8066845	PASS
UN	91265631	91266676	76714509	Not Valid
LG1B	16663570	16676321	16668982	PASS
UN	91265631	91266676	72825346	Not Valid
UN	91265631	91266676	61571988	Not Valid
LG17	91265631	91266676	249607	Not Valid
LG2	91265631	91266676	14021413	Not Valid
UN	91265631	91266676	6752617	Not Valid
UN	91265631	91266676	71510978	Not Valid
LGx	91265631	91266676	1872564	Not Valid
LG14	91265631	91266676	14013315	Not Valid
LG7	14387319	14446215	14387607	PASS
UN	91265631	91266676	45463627	Not Valid
UN	91265631	91266676	28706	Not Valid
LG15	91265631	91266676	24106513	Not Valid
UN	38974845	38976317	38976189	PASS
LG9	1708791	1730672	1708974	PASS
LG10	4481301	4635159	4566946	PASS
UN	64008041	64032124	64020888	PASS
UN	91265631	91266676	56643500	Not Valid
UN	9412489	9414539	9413000	PASS
LG16	10347005	10361043	10360849	PASS
UN	91265631	91266676	93998579	Not Valid
LG24	13367567	13370492	13367592	PASS
LG5	91265631	91266676	17824279	Not Valid
LG19	9693945	9699815	9699010	PASS
LG7	91265631	91266676	12952174	Not Valid
UN	91265631	91266676	68364948	Not Valid
LG8	91265631	91266676	12133567	Not Valid
LG9	7497579	7498837	7497831	PASS
LG7	11152641	11161273	11157210	PASS
UN	8888831	8895077	8888937	PASS
UN	91265631	91266676	70354960	Not Valid
LG5	15885525	15892252	15891315	PASS
UN	82241213	82303384	82286929	PASS
LG17	91265631	91266676	4186771	Not Valid
LG20	8523994	8537617	8533642	PASS
LG8	91265631	91266676	13716084	Not Valid
UN	91265631	91266676	23927188	Not Valid
LG11	9554544	9559103	9554751	PASS
LG13	91265631	91266676	17269493	Not Valid
UN	47526337	47542827	47541369	PASS
LG12	8794800	8800257	8795946	PASS
LG12	91265631	91266676	15799266	Not Valid
UN	91265631	91266676	58402725	Not Valid
LG14	91265631	91266676	1246035	Not Valid
LG15	8155965	8179888	8163325	PASS
UN	86036735	86037735	86036986	PASS
LGx	1066613	1081919	1081763	PASS
UN	91265631	91266676	6773339	Not Valid
UN	91265631	91266676	28163027	Not Valid
LG16	91265631	91266676	19725585	Not Valid
LG7	91265631	91266676	10539420	Not Valid
UN	91265631	91266676	28551772	Not Valid
LG10	91265631	91266676	18353690	Not Valid
UN	91265631	91266676	33634634	Not Valid
LG16	91265631	91266676	6009835	Not Valid
UN	91265631	91266676	36116369	Not Valid
LG1A	17587446	17588856	17587811	PASS
LG19	91265631	91266676	21181160	Not Valid
LG16	91265631	91266676	10000078	Not Valid
LG16	20679910	20683323	20683279	PASS
UN	91265631	91266676	12885072	Not Valid
LG1A	91265631	91266676	18026801	Not Valid
LG11	91265631	91266676	11327929	Not Valid
LG1B	91265631	91266676	10132688	Not Valid
UN	79248229	79251108	79250780	PASS
LG16	91265631	91266676	9019057	Not Valid
LG17	11294636	11300696	11299661	PASS
LG8	91265631	91266676	732133	Not Valid
UN	2772215	2775921	2775698	PASS
UN	91265631	91266676	96635764	Not Valid
UN	91265631	91266676	77148782	Not Valid
LG20	27288892	27307362	27289144	PASS
LGx	3197485	3278999	3200305	PASS
UN	91265631	91266676	4816187	Not Valid
LG1B	7693070	7696318	7696098	PASS
LG22-25	5033008	5043945	5042627	PASS
LG5	91265631	91266676	16850465	Not Valid
LG1B	16336619	16352366	16339182	PASS
UN	91265631	91266676	40004936	Not Valid
UN	91265631	91266676	26951946	Not Valid
LG4	91265631	91266676	3494257	Not Valid
LG15	91265631	91266676	16234408	Not Valid
LG17	91265631	91266676	7206099	Not Valid
LG20	3872520	3876516	3875790	PASS
LG20	4930942	4942936	4932963	PASS
LG19	4514590	4522620	4517428	PASS
LG17	2629570	2722112	2704224	PASS
LG20	16262215	16268671	16266851	PASS
LG10	91265631	91266676	22589109	Not Valid
LG4	17108407	17157131	17113745	PASS
UN	91265631	91266676	83982101	Not Valid
UN	83331822	83347034	83342435	PASS
LG11	91265631	91266676	24095216	Not Valid
LGx	91265631	91266676	5863670	Not Valid
LG20	91265631	91266676	8810445	Not Valid
LG8	91265631	91266676	5887865	Not Valid
LG2	91265631	91266676	4681302	Not Valid
LG1A	91265631	91266676	14011595	Not Valid
UN	91265631	91266676	66977052	Not Valid
LG14	91265631	91266676	6489456	Not Valid
LG12	91265631	91266676	12618892	Not Valid
LG16	21410209	21414991	21412188	PASS
LG24	5034996	5038481	5035170	PASS
LG10	91265631	91266676	8022462	Not Valid
LG22-25	6809791	6817795	6814592	PASS
LG9	17110527	17112958	17112781	PASS
LG1A	91265631	91266676	16862221	Not Valid
LG17	91265631	91266676	7079153	Not Valid
UN	19630175	19635963	19634461	PASS
LG24	10034149	10042350	10034831	PASS
UN	84882439	85129777	85126428	PASS
LG20	15138310	15174690	15173925	PASS
UN	91265631	91266676	51486184	Not Valid
UN	17535862	17538109	17537733	PASS
LG19	91265631	91266676	19766849	Not Valid
LG19	91265631	91266676	12497191	Not Valid
LG15	91265631	91266676	5844484	Not Valid
UN	80382082	80459867	80391115	PASS
UN	91265631	91266676	19101836	Not Valid
UN	91265631	91266676	7991713	Not Valid
LG5	91265631	91266676	10432745	Not Valid
LG10	91265631	91266676	18859	Not Valid
LGx	91265631	91266676	17650712	Not Valid
UN	91899920	91905278	91904675	PASS
UN	91265631	91266676	89886590	Not Valid
LG6	91265631	91266676	12388222	Not Valid
UN	91265631	91266676	16979650	Not Valid
LG22-25	91265631	91266676	18960371	Not Valid
LG7	91265631	91266676	1705274	Not Valid
LG12	91265631	91266676	10240725	Not Valid
LG3	91265631	91266676	414750	Not Valid
LG10	6992115	6995558	6993867	PASS
LG13	24201405	24203602	24202102	PASS
LG19	19364937	19404313	19396734	PASS
LG6	91265631	91266676	11897649	Not Valid
LG24	304595	319645	307894	PASS
LG18-21	91265631	91266676	1506398	Not Valid
UN	64279171	64286857	64283044	PASS
UN	91265631	91266676	57990571	Not Valid
LG9	91265631	91266676	20865676	Not Valid
LG12	16673347	16685919	16675280	PASS
UN	91265631	91266676	4110253	Not Valid
LG15	91265631	91266676	23763474	Not Valid
UN	91265631	91266676	61016919	Not Valid
UN	78447311	78447800	78447572	PASS
UN	39885630	39887784	39886320	PASS
LG22-25	7549496	7561327	7550393	PASS
LG8	17603032	17611497	17609675	PASS
UN	25051453	25055787	25053068	PASS
UN	60632588	60825487	60816429	PASS
UN	91265631	91266676	41653695	Not Valid
LG4	17466582	17473466	17467349	PASS
LG6	21960633	21967797	21967438	PASS
LG10	91265631	91266676	8668404	Not Valid
UN	91265631	91266676	21864745	Not Valid
UN	63719359	63747839	63731189	PASS
UN	91265631	91266676	77611834	Not Valid
LG7	91265631	91266676	25433838	Not Valid
LG3	10699613	10702462	10702042	PASS
LG4	91265631	91266676	7529362	Not Valid
UN	82543693	82545806	82545096	PASS
UN	69599691	69601306	69600133	PASS
LG22-25	10849916	10925242	10851034	PASS
UN	96274219	96291400	96289886	PASS
LG20	91265631	91266676	696947	Not Valid
LG10	91265631	91266676	11746126	Not Valid
LG13	19743961	19745245	19743982	PASS
LG5	91265631	91266676	4326912	Not Valid
LG14	91265631	91266676	14451507	Not Valid
LG1A	91265631	91266676	8221133	Not Valid
UN	91265631	91266676	69363085	Not Valid
LG8	91265631	91266676	11262657	Not Valid
UN	55378578	55379095	55378743	PASS
UN	91265631	91266676	88265711	Not Valid
LG4	91265631	91266676	19361558	Not Valid
UN	91265631	91266676	28443493	Not Valid
UN	91265631	91266676	16980959	Not Valid
LG8	91265631	91266676	8967806	Not Valid
UN	91265631	91266676	10280503	Not Valid
LG7	91265631	91266676	16780670	Not Valid
LG5	91265631	91266676	25062992	Not Valid
LG13	91265631	91266676	5512794	Not Valid
UN	91265631	91266676	82548738	Not Valid
UN	91265631	91266676	43672483	Not Valid
LG24	91265631	91266676	7173903	Not Valid
LG8	16345703	16368489	16345981	PASS
UN	8009057	8010620	8009693	PASS
UN	91265631	91266676	7985952	Not Valid
LG19	91265631	91266676	16373638	Not Valid
LG17	91265631	91266676	22812056	Not Valid
UN	91265631	91266676	39281474	Not Valid
UN	91265631	91266676	86653986	Not Valid
UN	90417358	90588298	90567867	PASS
LG5	4504825	4528492	4508892	PASS
UN	91265631	91266676	51465346	Not Valid
LG5	91265631	91266676	26014299	Not Valid
UN	91265631	91266676	42993361	Not Valid
UN	91265631	91266676	32298765	Not Valid
LG22-25	24549691	24555566	24549758	PASS
LG7	91265631	91266676	10750961	Not Valid
UN	91836779	91838531	91837252	PASS
UN	91265631	91266676	9962102	Not Valid
LG14	91265631	91266676	15038637	Not Valid
UN	25323225	25563570	25463352	PASS
LG13	5412214	5433155	5431807	PASS
LG1A	8749238	8928025	8926730	PASS
UN	91265631	91266676	91708918	Not Valid
LG6	91265631	91266676	13399971	Not Valid
UN	91265631	91266676	37362342	Not Valid
LG3	91265631	91266676	5491601	Not Valid
LG1A	91265631	91266676	25502202	Not Valid
UN	91265631	91266676	60962531	Not Valid
LG19	15623505	15651593	15651523	PASS
UN	91265631	91266676	55175759	Not Valid
LG20	15487224	15521938	15510014	PASS
UN	40707907	40709931	40708555	PASS
LG19	91265631	91266676	9719586	Not Valid
LG12	91265631	91266676	11899915	Not Valid
LG11	91265631	91266676	19948807	Not Valid
LG16	8563004	8564486	8563112	PASS
LG12	91265631	91266676	1864210	Not Valid
UN	91265631	91266676	57051425	Not Valid
LG4	91265631	91266676	20341402	Not Valid
UN	15717983	16167386	16090521	PASS
LG20	91265631	91266676	15040837	Not Valid
UN	91265631	91266676	71383771	Not Valid
LG9	3285543	3290245	3288011	PASS
LG10	91265631	91266676	2877669	Not Valid
LG2	2469906	2483909	2482826	PASS
LG8	13632413	13638664	13638064	PASS
LG6	91265631	91266676	6919769	Not Valid
LG10	11828117	11841257	11840360	PASS
LG2	91265631	91266676	4847849	Not Valid
LG20	14548596	14568085	14567758	PASS
LGx	4664575	4665749	4665152	PASS
UN	80522040	80529562	80525958	PASS
LG10	91265631	91266676	15527926	Not Valid
LG16	91265631	91266676	2125427	Not Valid
UN	29739187	29743963	29740181	PASS
LG10	13388411	13396702	13389465	PASS
LG20	7699744	7708027	7700145	PASS
UN	91265631	91266676	96620478	Not Valid
LG14	4930817	5129488	5128800	PASS
UN	50363469	50440414	50390893	PASS
LG15	19194349	19233466	19215029	PASS
UN	81152639	81374355	81266596	PASS
UN	91265631	91266676	8954897	Not Valid
LG12	91265631	91266676	9949490	Not Valid
LG5	3668395	3843960	3840705	PASS
UN	43386156	43389988	43388892	PASS
LG2	91265631	91266676	7810136	Not Valid
LG1B	91265631	91266676	6349500	Not Valid
LG8	91265631	91266676	10049949	Not Valid
UN	91265631	91266676	62759710	Not Valid
LG16	91265631	91266676	9762967	Not Valid
LG12	91265631	91266676	18273204	Not Valid
UN	41192560	41234201	41211493	PASS
LG17	91265631	91266676	14283169	Not Valid
LG7	15208814	15220137	15216682	PASS
LG1A	13186799	13201056	13188169	PASS
LG22-25	11569492	11590410	11586559	PASS
LG3	91265631	91266676	13099790	Not Valid
UN	91265631	91266676	93595484	Not Valid
LG22-25	91265631	91266676	2602111	Not Valid
UN	91265631	91266676	51734252	Not Valid
LG11	91265631	91266676	1557608	Not Valid
LG14	91265631	91266676	20973036	Not Valid
LG10	91265631	91266676	20603501	Not Valid
LG17	91265631	91266676	10972184	Not Valid
LG5	91265631	91266676	15579750	Not Valid
LG9	91265631	91266676	19826145	Not Valid
LG14	91265631	91266676	12999756	Not Valid
UN	91265631	91266676	68195940	Not Valid
LG22-25	13796330	13810473	13809634	PASS
LG7	91265631	91266676	4975750	Not Valid
LG22-25	15679096	15688135	15687997	PASS
LG1A	18712985	18728149	18716399	PASS
LG20	91265631	91266676	13760380	Not Valid
LG11	18230435	18245718	18231078	PASS
UN	68429728	68589495	68534467	PASS
LG9	91265631	91266676	7121540	Not Valid
UN	91265631	91266676	81645503	Not Valid
LG14	91265631	91266676	18168783	Not Valid
LG17	91265631	91266676	164192	Not Valid
UN	91265631	91266676	38362317	Not Valid
UN	40478519	40494136	40494109	PASS
LG7	20582149	20593610	20592987	PASS
LG17	18125682	18129165	18126946	PASS
LG2	91265631	91266676	22326804	Not Valid
LG12	13840916	13891131	13843568	PASS
LG6	91265631	91266676	9758258	Not Valid
LG1A	3555105	3558417	3556669	PASS
UN	91265631	91266676	30182761	Not Valid
LG13	1270888	1277290	1274305	PASS
UN	91265631	91266676	30457657	Not Valid
UN	49756171	49787646	49774615	PASS
UN	34125421	34126251	34126180	PASS
UN	91265631	91266676	24141872	Not Valid
LG19	2816992	3060195	2893507	PASS
UN	91265631	91266676	20263974	Not Valid
LG4	11606006	11612245	11611495	PASS
LG8	91265631	91266676	5732591	Not Valid
UN	91265631	91266676	17717046	Not Valid
LG1A	18054983	18074462	18065124	PASS
UN	78487824	78517368	78488146	PASS
UN	91265631	91266676	26805630	Not Valid
LG15	91265631	91266676	16592307	Not Valid
LG11	19119859	19121314	19121076	PASS
UN	91265631	91266676	96763091	Not Valid
LG17	91265631	91266676	1981969	Not Valid
LG18-21	91265631	91266676	755294	Not Valid
UN	91265631	91266676	77111685	Not Valid
LG1A	27579834	27596452	27595318	PASS
UN	91265631	91266676	9531361	Not Valid
UN	91265631	91266676	16845098	Not Valid
LG16	91265631	91266676	7458750	Not Valid
LG9	11700740	11707751	11707125	PASS
LG9	91265631	91266676	5838045	Not Valid
LG3	91265631	91266676	12293262	Not Valid
UN	31868331	31873012	31872642	PASS
UN	57000660	57009399	57007069	PASS
LG16	91265631	91266676	12736598	Not Valid
LG19	91265631	91266676	10849954	Not Valid
UN	91265631	91266676	55785714	Not Valid
LG13	23005874	23008186	23007427	PASS
LG19	20208786	20314964	20229359	PASS
LG14	91265631	91266676	20579177	Not Valid
LG5	6089771	6093359	6090467	PASS
LG11	24751986	24816216	24805116	PASS
LG11	91265631	91266676	12200753	Not Valid
LG1A	91265631	91266676	7504015	Not Valid
UN	56545292	56555726	56546316	PASS
UN	91265631	91266676	24627568	Not Valid
UN	91265631	91266676	29303543	Not Valid
LG22-25	91265631	91266676	4495472	Not Valid
LG11	6586866	6633779	6633149	PASS
LG1A	5644095	5670347	5666677	PASS
LG19	91265631	91266676	15546151	Not Valid
LG2	2456585	2467608	2465786	PASS
UN	91265631	91266676	19959269	Not Valid
LG2	2038766	2053428	2053289	PASS
LG4	91265631	91266676	16848544	Not Valid
LG3	91265631	91266676	4474265	Not Valid
LG18-21	91265631	91266676	12466466	Not Valid
UN	91265631	91266676	35481958	Not Valid
LG13	10315353	10318317	10316458	PASS
LG22-25	91265631	91266676	8361052	Not Valid
LG1A	6126620	6131890	6128035	PASS
UN	492267	498324	492627	PASS
UN	91265631	91266676	9000630	Not Valid
LG24	91265631	91266676	13532001	Not Valid
LG10	13784817	13789061	13785281	PASS
LG18-21	91265631	91266676	15883029	Not Valid
UN	91265631	91266676	9890696	Not Valid
LG5	91265631	91266676	9555775	Not Valid
LG11	10703189	10721761	10721134	PASS
UN	91265631	91266676	44222479	Not Valid
LG14	3364007	3364933	3364807	PASS
UN	91265631	91266676	77470002	Not Valid
UN	67731185	67745209	67744134	PASS
UN	91265631	91266676	83721973	Not Valid
LGx	91265631	91266676	1842587	Not Valid
LG11	23471813	23488822	23476057	PASS
LG12	91265631	91266676	11387900	Not Valid
LG14	27783041	27788421	27788190	PASS
LG11	21910392	21917981	21917840	PASS
LG4	7002799	7010053	7004679	PASS
LG13	91265631	91266676	21569964	Not Valid
LG8	91265631	91266676	13552977	Not Valid
LG4	91265631	91266676	11620248	Not Valid
UN	91265631	91266676	45959348	Not Valid
UN	91265631	91266676	48626912	Not Valid
UN	91265631	91266676	62868102	Not Valid
UN	86356289	86358295	86356489	PASS
UN	37106320	37362306	37295947	PASS
UN	91265631	91266676	32933506	Not Valid
LG15	91265631	91266676	3893488	Not Valid
LG24	91265631	91266676	7782115	Not Valid
UN	27644259	27683199	27646962	PASS
LG12	18599167	18600643	18600027	PASS
LG13	91265631	91266676	23193305	Not Valid
LG7	11589738	11628214	11628071	PASS
LG13	1104691	1117626	1105554	PASS
LG8	91265631	91266676	3408788	Not Valid
LG14	13007724	13011483	13009173	PASS
UN	37051257	37054270	37052639	PASS
LG9	91265631	91266676	12959937	Not Valid
LG3	91265631	91266676	4482913	Not Valid
LG13	15359955	15366529	15360665	PASS
LG20	91265631	91266676	6863031	Not Valid
LG12	10601100	10610240	10609973	PASS
LG1B	91265631	91266676	12446832	Not Valid
UN	25323225	25563570	25540370	PASS
LG13	91265631	91266676	15357405	Not Valid
UN	50656099	50657075	50656813	PASS
LG8	18042527	18082064	18054786	PASS
LG7	5498173	5500225	5498869	PASS
LG7	91265631	91266676	13332049	Not Valid
UN	91265631	91266676	66501929	Not Valid
UN	91265631	91266676	8995435	Not Valid
LG7	91265631	91266676	11762280	Not Valid
