     chromosome |       old_start |         old_end |       new_start |         new_end |           codon  |      Length add  | brin 
             UN |        75730338 |        75730340 |        75730341 |        75730343 |             TGA  |               3  |  +
            LG7 |        15440601 |        15440603 |        15440604 |        15440606 |             TGA  |               3  |  +
             UN |        77589623 |        77589625 |        77589619 |        77589621 |             TAG  |               2  |  -
             UN |        33517917 |        33517919 |        33517920 |        33517922 |             TAA  |               3  |  +
            LG2 |         1987441 |         1987443 |         1987437 |         1987439 |             TAG  |               2  |  -
        LG22-25 |        21976508 |        21976510 |        21976511 |        21976513 |             TGA  |               3  |  +
             UN |        20199140 |        20199142 |        20199136 |        20199138 |             TGA  |               2  |  -
           LG17 |         9696501 |         9696503 |         9696497 |         9696499 |             TGA  |               2  |  -
            LG5 |        31014760 |        31014762 |        31014756 |        31014758 |             TAG  |               2  |  -
           LG20 |        27099915 |        27099917 |        27099911 |        27099913 |             TAG  |               2  |  -
            LG8 |          232578 |          232580 |          232581 |          232583 |             TAA  |               3  |  +
           LG16 |        10243229 |        10243231 |        10243232 |        10243234 |             TGA  |               3  |  +
             UN |        80501572 |        80501574 |        80501568 |        80501570 |             TGA  |               2  |  -
            LG2 |         4185290 |         4185292 |         4185293 |         4185295 |             TGA  |               3  |  +
           LG14 |        17570917 |        17570919 |        17570913 |        17570915 |             TAA  |               2  |  -
           LG10 |        19197365 |        19197367 |        19197361 |        19197363 |             TGA  |               2  |  -
             UN |         6676519 |         6676521 |         6676515 |         6676517 |             TGA  |               2  |  -
             UN |        93186278 |        93186280 |        93186274 |        93186276 |             TAA  |               2  |  -
            LG7 |        15321480 |        15321482 |        15321476 |        15321478 |             TAG  |               2  |  -
           LG12 |        20129387 |        20129389 |        20129383 |        20129385 |             TGA  |               2  |  -
           LG19 |         3353237 |         3353239 |         3353240 |         3353242 |             TAA  |               3  |  +
            LG2 |          933234 |          933236 |          933249 |          933251 |             TAA  |              15  |  +
           LG13 |        11959342 |        11959344 |        11959345 |        11959347 |             TGA  |               3  |  +
           LG10 |         3586640 |         3586642 |         3586643 |         3586645 |             TAA  |               3  |  +
        LG22-25 |        11604451 |        11604453 |        11604447 |        11604449 |             TAG  |               2  |  -
            LG9 |         5200625 |         5200627 |         5200621 |         5200623 |             TAA  |               2  |  -
           LG1A |        13046645 |        13046647 |        13046648 |        13046650 |             TGA  |               3  |  +
           LG19 |        23190535 |        23190537 |        23190531 |        23190533 |             TAG  |               2  |  -
             UN |        50227420 |        50227422 |        50227416 |        50227418 |             TAG  |               2  |  -
             UN |        91702350 |        91702352 |        91703334 |        91703336 |             TGA  |             984  |  +
             UN |        47137963 |        47137965 |        47138071 |        47138073 |             TGA  |             108  |  +
           LG14 |        10219453 |        10219455 |        10219456 |        10219458 |             TGA  |               3  |  +
           LG19 |         3379851 |         3379853 |         3380046 |         3380048 |             TAA  |             195  |  +
             UN |        22260365 |        22260367 |        22260368 |        22260370 |             TAA  |               3  |  +
             UN |        75851765 |        75851767 |        75851761 |        75851763 |             TGA  |               2  |  -
           LG12 |         4531305 |         4531307 |         4531308 |         4531310 |             TGA  |               3  |  +
            LG9 |         1755341 |         1755343 |         1755274 |         1755276 |             TGA  |              65  |  -
            LG5 |        16582818 |        16582820 |        16582821 |        16582823 |             TGA  |               3  |  +
            LG3 |         4497325 |         4497327 |         4497321 |         4497323 |             TGA  |               2  |  -
           LG11 |        21666493 |        21666495 |        21666496 |        21666498 |             TAA  |               3  |  +
            LG4 |         8949676 |         8949678 |         8949672 |         8949674 |             TGA  |               2  |  -
            LG8 |         9548982 |         9548984 |         9548951 |         9548953 |             TGA  |              29  |  -
            LGx |         9079495 |         9079497 |         9079491 |         9079493 |             TAA  |               2  |  -
             UN |        48775445 |        48775447 |        48775321 |        48775323 |             TGA  |             122  |  -
           LG15 |          583261 |          583263 |          583257 |          583259 |             TAA  |               2  |  -
             UN |        38446903 |        38446905 |        38446473 |        38446475 |             TAG  |             428  |  -
            LG2 |        24681654 |        24681656 |        24681657 |        24681659 |             TGA  |               3  |  +
             UN |        52806572 |        52806574 |        52806568 |        52806570 |             TAG  |               2  |  -
             UN |        10126265 |        10126267 |        10126261 |        10126263 |             TAG  |               2  |  -
           LG1A |        16436567 |        16436569 |        16436570 |        16436572 |             TGA  |               3  |  +
        LG22-25 |        10778644 |        10778646 |        10778647 |        10778649 |             TGA  |               3  |  +
             UN |         9715292 |         9715294 |         9715120 |         9715122 |             TAA  |             170  |  -
            LG9 |        11419897 |        11419899 |        11419900 |        11419902 |             TGA  |               3  |  +
             UN |        39169852 |        39169854 |        39169848 |        39169850 |             TAA  |               2  |  -
            LG6 |         1064741 |         1064743 |         1064737 |         1064739 |             TAA  |               2  |  -
           LG14 |        18865574 |        18865576 |        18865570 |        18865572 |             TAG  |               2  |  -
        LG22-25 |        20340072 |        20340074 |        20340075 |        20340077 |             TAG  |               3  |  +
           LG13 |         1998866 |         1998868 |         1998862 |         1998864 |             TAA  |               2  |  -
             UN |         5077291 |         5077293 |         5077294 |         5077296 |             TGA  |               3  |  +
           LG17 |        13244631 |        13244633 |        13244468 |        13244470 |             TGA  |             161  |  -
           LG19 |        21138989 |        21138991 |        21138992 |        21138994 |             TGA  |               3  |  +
             UN |        10412089 |        10412091 |        10412143 |        10412145 |             TAA  |              54  |  +
           LG10 |         8514096 |         8514098 |         8514092 |         8514094 |             TAA  |               2  |  -
           LG11 |        23275024 |        23275026 |        23275020 |        23275022 |             TGA  |               2  |  -
             UN |        87784734 |        87784736 |        87784730 |        87784732 |             TGA  |               2  |  -
            LG2 |        11422735 |        11422737 |        11422738 |        11422740 |             TGA  |               3  |  +
             UN |        60818595 |        60818597 |        60818598 |        60818600 |             TGA  |               3  |  +
             UN |         3733923 |         3733925 |         3733926 |         3733928 |             TAG  |               3  |  +
             UN |        16178422 |        16178424 |        16178295 |        16178297 |             TGA  |             125  |  -
           LG1A |         8349110 |         8349112 |         8349106 |         8349108 |             TAG  |               2  |  -
           LG17 |         6167686 |         6167688 |         6167682 |         6167684 |             TAA  |               2  |  -
             UN |        25399728 |        25399730 |        25399731 |        25399733 |             TAA  |               3  |  +
           LG20 |        23823103 |        23823105 |        23823099 |        23823101 |             TAG  |               2  |  -
            LG7 |        23137057 |        23137059 |        23137053 |        23137055 |             TGA  |               2  |  -
             UN |        70227482 |        70227484 |        70227485 |        70227487 |             TGA  |               3  |  +
            LG2 |        21415935 |        21415937 |        21415931 |        21415933 |             TGA  |               2  |  -
           LG19 |         7279668 |         7279670 |         7279664 |         7279666 |             TAG  |               2  |  -
            LG5 |        20880816 |        20880818 |        20880812 |        20880814 |             TGA  |               2  |  -
             UN |        73902072 |        73902074 |        73902023 |        73902025 |             TAG  |              47  |  -
            LG5 |        13205660 |        13205662 |        13205656 |        13205658 |             TAG  |               2  |  -
             UN |        76319314 |        76319316 |        76318998 |        76319000 |             TAG  |             314  |  -
            LG4 |         5170203 |         5170205 |         5170206 |         5170208 |             TAG  |               3  |  +
           LG20 |         8492503 |         8492505 |         8492499 |         8492501 |             TAG  |               2  |  -
        LG18-21 |         4378747 |         4378749 |         4378743 |         4378745 |             TAG  |               2  |  -
           LG11 |          317910 |          317912 |          317906 |          317908 |             TGA  |               2  |  -
            LG7 |        15211999 |        15212001 |        15211995 |        15211997 |             TAA  |               2  |  -
             UN |         4963476 |         4963478 |         4963497 |         4963499 |             TGA  |              21  |  +
             UN |        18169741 |        18169743 |        18169744 |        18169746 |             TAA  |               3  |  +
           LG14 |         7049742 |         7049744 |         7049738 |         7049740 |             TAG  |               2  |  -
           LG17 |         3506371 |         3506373 |         3506374 |         3506376 |             TGA  |               3  |  +
           LG1B |         7030118 |         7030120 |         7030340 |         7030342 |             TAG  |             222  |  +
            LG5 |        24205248 |        24205250 |        24205244 |        24205246 |             TGA  |               2  |  -
            LG9 |         5581347 |         5581349 |         5581350 |         5581352 |             TAA  |               3  |  +
           LG10 |        13790304 |        13790306 |        13790300 |        13790302 |             TAA  |               2  |  -
        LG18-21 |         2882162 |         2882164 |         2882158 |         2882160 |             TAA  |               2  |  -
             UN |        33092862 |        33092864 |        33092865 |        33092867 |             TAG  |               3  |  +
        LG18-21 |         7263335 |         7263337 |         7263338 |         7263340 |             TGA  |               3  |  +
            LG6 |        17373244 |        17373246 |        17373240 |        17373242 |             TAG  |               2  |  -
           LG13 |        17009643 |        17009645 |        17009639 |        17009641 |             TAA  |               2  |  -
            LG7 |        14875173 |        14875175 |        14875176 |        14875178 |             TAA  |               3  |  +
            LG8 |         1503248 |         1503250 |         1503251 |         1503253 |             TGA  |               3  |  +
           LG1A |        13848976 |        13848978 |        13848972 |        13848974 |             TGA  |               2  |  -
            LG7 |        19614954 |        19614956 |        19614950 |        19614952 |             TGA  |               2  |  -
             UN |        65701542 |        65701544 |        65701545 |        65701547 |             TAG  |               3  |  +
            LG7 |        18375209 |        18375211 |        18375293 |        18375295 |             TAA  |              84  |  +
             UN |        56052660 |        56052662 |        56052656 |        56052658 |             TAG  |               2  |  -
           LG13 |        20532346 |        20532348 |        20532349 |        20532351 |             TGA  |               3  |  +
            LG2 |         3585169 |         3585171 |         3585187 |         3585189 |             TAA  |              18  |  +
             UN |        91157429 |        91157431 |        91157425 |        91157427 |             TGA  |               2  |  -
           LG19 |          692152 |          692154 |          692148 |          692150 |             TAA  |               2  |  -
           LG1B |         3292782 |         3292784 |         3292778 |         3292780 |             TGA  |               2  |  -
            LG8 |         9527081 |         9527083 |         9527077 |         9527079 |             TAA  |               2  |  -
            LG8 |        21938093 |        21938095 |        21938219 |        21938221 |             TGA  |             126  |  +
           LG20 |        12794863 |        12794865 |        12794859 |        12794861 |             TGA  |               2  |  -
           LG16 |        10227456 |        10227458 |        10227459 |        10227461 |             TGA  |               3  |  +
             UN |        86714099 |        86714101 |        86714095 |        86714097 |             TGA  |               2  |  -
           LG16 |        12184504 |        12184506 |        12184507 |        12184509 |             TAA  |               3  |  +
           LG14 |         9651363 |         9651365 |         9651366 |         9651368 |             TAG  |               3  |  +
             UN |        86254815 |        86254817 |        86254811 |        86254813 |             TGA  |               2  |  -
           LG1B |        10768088 |        10768090 |        10768084 |        10768086 |             TAG  |               2  |  -
            LG4 |        17024204 |        17024206 |        17024200 |        17024202 |             TGA  |               2  |  -
           LG17 |         7714550 |         7714552 |         7714546 |         7714548 |             TAA  |               2  |  -
           LG11 |         3851110 |         3851112 |         3851113 |         3851115 |             TGA  |               3  |  +
             UN |         4221965 |         4221967 |         4221968 |         4221970 |             TAA  |               3  |  +
            LG4 |        16196414 |        16196416 |        16196410 |        16196412 |             TGA  |               2  |  -
           LG14 |         3469611 |         3469613 |         3469607 |         3469609 |             TGA  |               2  |  -
           LG12 |        15778273 |        15778275 |        15778276 |        15778278 |             TGA  |               3  |  +
           LG14 |        17798713 |        17798715 |        17798709 |        17798711 |             TAA  |               2  |  -
            LG9 |        12576436 |        12576438 |        12576381 |        12576383 |             TGA  |              53  |  -
            LG5 |        29955044 |        29955046 |        29955047 |        29955049 |             TGA  |               3  |  +
             UN |        78201701 |        78201703 |        78201697 |        78201699 |             TAA  |               2  |  -
           LG13 |         4429777 |         4429779 |         4429780 |         4429782 |             TGA  |               3  |  +
           LG12 |        18412693 |        18412695 |        18412689 |        18412691 |             TGA  |               2  |  -
        LG22-25 |         2813478 |         2813480 |         2813610 |         2813612 |             TAA  |             132  |  +
           LG15 |        20445470 |        20445472 |        20445433 |        20445435 |             TAA  |              35  |  -
        LG18-21 |         1433851 |         1433853 |         1433854 |         1433856 |             TGA  |               3  |  +
             UN |        82413553 |        82413555 |        82413556 |        82413558 |             TAA  |               3  |  +
           LG1A |        18428201 |        18428203 |        18428197 |        18428199 |             TGA  |               2  |  -
           LG13 |        18485119 |        18485121 |        18485115 |        18485117 |             TGA  |               2  |  -
        LG22-25 |          651769 |          651771 |          651765 |          651767 |             TAA  |               2  |  -
           LG20 |         7535767 |         7535769 |         7535763 |         7535765 |             TAA  |               2  |  -
           LG13 |        17910299 |        17910301 |        17910302 |        17910304 |             TAA  |               3  |  +
           LG15 |        19147254 |        19147256 |        19147250 |        19147252 |             TGA  |               2  |  -
            LG9 |         1122376 |         1122378 |         1122372 |         1122374 |             TGA  |               2  |  -
           LG13 |          982952 |          982954 |          982955 |          982957 |             TGA  |               3  |  +
           LG1A |        20723062 |        20723064 |        20723065 |        20723067 |             TGA  |               3  |  +
             UN |        80333771 |        80333773 |        80333767 |        80333769 |             TAG  |               2  |  -
           LG16 |        12861569 |        12861571 |        12861565 |        12861567 |             TAA  |               2  |  -
             UN |        48930261 |        48930263 |        48930264 |        48930266 |             TAA  |               3  |  +
             UN |        82372111 |        82372113 |        82372786 |        82372788 |             TAA  |             675  |  +
             UN |        40680306 |        40680308 |        40680269 |        40680271 |             TAA  |              35  |  -
            LG2 |         5612003 |         5612005 |         5611999 |         5612001 |             TAA  |               2  |  -
           LG10 |        20119586 |        20119588 |        20119582 |        20119584 |             TGA  |               2  |  -
           LG10 |        11879946 |        11879948 |        11879942 |        11879944 |             TGA  |               2  |  -
             UN |        96571699 |        96571701 |        96571702 |        96571704 |             TAG  |               3  |  +
           LG19 |         4416118 |         4416120 |         4415589 |         4415591 |             TAG  |             527  |  -
             UN |         7048824 |         7048826 |         7048827 |         7048829 |             TGA  |               3  |  +
           LG14 |         2415373 |         2415375 |         2415369 |         2415371 |             TAG  |               2  |  -
             UN |        84248342 |        84248344 |        84248381 |        84248383 |             TGA  |              39  |  +
           LG19 |        10215516 |        10215518 |        10215519 |        10215521 |             TGA  |               3  |  +
           LG16 |        24789580 |        24789582 |        24789601 |        24789603 |             TGA  |              21  |  +
           LG10 |         6156092 |         6156094 |         6156088 |         6156090 |             TAG  |               2  |  -
           LG15 |        12703696 |        12703698 |        12703699 |        12703701 |             TGA  |               3  |  +
           LG11 |         1759738 |         1759740 |         1759734 |         1759736 |             TAG  |               2  |  -
             UN |         3829409 |         3829411 |         3829354 |         3829356 |             TGA  |              53  |  -
           LG13 |        19343516 |        19343518 |        19343519 |        19343521 |             TGA  |               3  |  +
            LG5 |        15050727 |        15050729 |        15050723 |        15050725 |             TGA  |               2  |  -
           LG14 |          658541 |          658543 |          658537 |          658539 |             TGA  |               2  |  -
            LG7 |        11186044 |        11186046 |        11186047 |        11186049 |             TAA  |               3  |  +
             UN |        80757859 |        80757861 |        80757855 |        80757857 |             TAG  |               2  |  -
             UN |        29840511 |        29840513 |        29840507 |        29840509 |             TAG  |               2  |  -
             UN |        16276384 |        16276386 |        16276411 |        16276413 |             TGA  |              27  |  +
            LG8 |         9052457 |         9052459 |         9052478 |         9052480 |             TAA  |              21  |  +
           LG1B |        13708733 |        13708735 |        13708729 |        13708731 |             TGA  |               2  |  -
           LG20 |        26325811 |        26325813 |        26325967 |        26325969 |             TGA  |             156  |  +
           LG13 |        27445127 |        27445129 |        27445123 |        27445125 |             TAA  |               2  |  -
           LG12 |        21388255 |        21388257 |        21388258 |        21388260 |             TGA  |               3  |  +
             UN |        89664038 |        89664040 |        89664041 |        89664043 |             TAA  |               3  |  +
           LG10 |          772417 |          772419 |          772420 |          772422 |             TAA  |               3  |  +
           LG1B |        13867929 |        13867931 |        13867925 |        13867927 |             TGA  |               2  |  -
             UN |        59327443 |        59327445 |        59327439 |        59327441 |             TAA  |               2  |  -
        LG18-21 |         7776480 |         7776482 |         7776476 |         7776478 |             TAA  |               2  |  -
             UN |         5753923 |         5753925 |         5753926 |         5753928 |             TAA  |               3  |  +
            LG3 |          117191 |          117193 |          117323 |          117325 |             TGA  |             132  |  +
            LG6 |        17401126 |        17401128 |        17401122 |        17401124 |             TGA  |               2  |  -
            LG9 |         5612302 |         5612304 |         5612410 |         5612412 |             TAA  |             108  |  +
           LG15 |        23182727 |        23182729 |        23182730 |        23182732 |             TGA  |               3  |  +
           LG10 |        23365307 |        23365309 |        23365310 |        23365312 |             TAA  |               3  |  +
             UN |        22935011 |        22935013 |        22935007 |        22935009 |             TAG  |               2  |  -
             UN |        22013819 |        22013821 |        22013822 |        22013824 |             TGA  |               3  |  +
           LG20 |         7512322 |         7512324 |         7512318 |         7512320 |             TGA  |               2  |  -
        LG18-21 |         7151315 |         7151317 |         7151318 |         7151320 |             TAA  |               3  |  +
           LG10 |        21120881 |        21120883 |        21120877 |        21120879 |             TAA  |               2  |  -
             UN |        18945787 |        18945789 |        18945783 |        18945785 |             TAA  |               2  |  -
             UN |        91015100 |        91015102 |        91015096 |        91015098 |             TAA  |               2  |  -
           LG20 |        16427261 |        16427263 |        16427257 |        16427259 |             TGA  |               2  |  -
           LG14 |        15852720 |        15852722 |        15852723 |        15852725 |             TAA  |               3  |  +
           LG12 |        16325164 |        16325166 |        16325160 |        16325162 |             TAA  |               2  |  -
            LG9 |        11536187 |        11536189 |        11536190 |        11536192 |             TGA  |               3  |  +
           LG12 |         8294831 |         8294833 |         8294827 |         8294829 |             TAA  |               2  |  -
            LG4 |        20502369 |        20502371 |        20502365 |        20502367 |             TGA  |               2  |  -
           LG13 |        21203224 |        21203226 |        21203227 |        21203229 |             TAG  |               3  |  +
            LG7 |        10137878 |        10137880 |        10137881 |        10137883 |             TAG  |               3  |  +
            LGx |        15492383 |        15492385 |        15492431 |        15492433 |             TAG  |              48  |  +
             UN |         3290864 |         3290866 |         3290860 |         3290862 |             TAG  |               2  |  -
           LG19 |        12750896 |        12750898 |        12750899 |        12750901 |             TGA  |               3  |  +
            LG9 |         8362623 |         8362625 |         8362619 |         8362621 |             TAA  |               2  |  -
           LG1B |         8716828 |         8716830 |         8716824 |         8716826 |             TAA  |               2  |  -
             UN |        18611099 |        18611101 |        18611095 |        18611097 |             TGA  |               2  |  -
            LG6 |         3183255 |         3183257 |         3183251 |         3183253 |             TGA  |               2  |  -
           LG12 |        20415599 |        20415601 |        20415595 |        20415597 |             TGA  |               2  |  -
            LG2 |        14475068 |        14475070 |        14475064 |        14475066 |             TGA  |               2  |  -
             UN |        68827106 |        68827108 |        68827109 |        68827111 |             TAA  |               3  |  +
           LG13 |        21836336 |        21836338 |        21836339 |        21836341 |             TAG  |               3  |  +
           LG1A |         6226918 |         6226920 |         6226914 |         6226916 |             TGA  |               2  |  -
           LG12 |        13732575 |        13732577 |        13732571 |        13732573 |             TAG  |               2  |  -
        LG22-25 |         5711937 |         5711939 |         5711933 |         5711935 |             TAA  |               2  |  -
             UN |        94257020 |        94257022 |        94257016 |        94257018 |             TAA  |               2  |  -
            LG2 |        14369943 |        14369945 |        14369939 |        14369941 |             TAA  |               2  |  -
             UN |        30195314 |        30195316 |        30195317 |        30195319 |             TAA  |               3  |  +
           LG12 |        20045052 |        20045054 |        20045055 |        20045057 |             TGA  |               3  |  +
             UN |        72413009 |        72413011 |        72413005 |        72413007 |             TAG  |               2  |  -
             UN |        32732946 |        32732948 |        32732949 |        32732951 |             TGA  |               3  |  +
           LG15 |        23970870 |        23970872 |        23970866 |        23970868 |             TGA  |               2  |  -
             UN |        61037197 |        61037199 |        61037193 |        61037195 |             TGA  |               2  |  -
           LG10 |        13408623 |        13408625 |        13408619 |        13408621 |             TGA  |               2  |  -
             UN |        74803722 |        74803724 |        74803718 |        74803720 |             TGA  |               2  |  -
             UN |        21808880 |        21808882 |        21808883 |        21808885 |             TAA  |               3  |  +
           LG15 |        16599882 |        16599884 |        16599878 |        16599880 |             TGA  |               2  |  -
             UN |        16150395 |        16150397 |        16150788 |        16150790 |             TAG  |             393  |  +
           LG12 |        17383529 |        17383531 |        17383532 |        17383534 |             TAG  |               3  |  +
           LG11 |        19090069 |        19090071 |        19090065 |        19090067 |             TGA  |               2  |  -
             UN |        64427294 |        64427296 |        64427297 |        64427299 |             TGA  |               3  |  +
           LG1A |        23333741 |        23333743 |        23333744 |        23333746 |             TAA  |               3  |  +
             UN |        81249527 |        81249529 |        81249530 |        81249532 |             TAA  |               3  |  +
            LG7 |         4088697 |         4088699 |         4088814 |         4088816 |             TGA  |             117  |  +
           LG1B |         6670189 |         6670191 |         6670185 |         6670187 |             TGA  |               2  |  -
           LG14 |        12086082 |        12086084 |        12086078 |        12086080 |             TGA  |               2  |  -
             UN |        61810406 |        61810408 |        61810409 |        61810411 |             TGA  |               3  |  +
            LG5 |        28857392 |        28857394 |        28857388 |        28857390 |             TGA  |               2  |  -
             UN |        88673486 |        88673488 |        88673489 |        88673491 |             TGA  |               3  |  +
             UN |        62477923 |        62477925 |        62477947 |        62477949 |             TGA  |              24  |  +
             UN |        49238536 |        49238538 |        49238523 |        49238525 |             TAG  |              11  |  -
             UN |        70190602 |        70190604 |        70190598 |        70190600 |             TAA  |               2  |  -
             UN |        78792322 |        78792324 |        78792318 |        78792320 |             TAG  |               2  |  -
           LG10 |        15359380 |        15359382 |        15359383 |        15359385 |             TGA  |               3  |  +
           LG1B |         2812137 |         2812139 |         2812140 |         2812142 |             TGA  |               3  |  +
             UN |        14638690 |        14638692 |        14638608 |        14638610 |             TGA  |              80  |  -
           LG20 |         4125886 |         4125888 |         4125882 |         4125884 |             TGA  |               2  |  -
             UN |        93471077 |        93471079 |        93471080 |        93471082 |             TAG  |               3  |  +
             UN |        33882180 |        33882182 |        33882183 |        33882185 |             TAA  |               3  |  +
             UN |        86379162 |        86379164 |        86379158 |        86379160 |             TAG  |               2  |  -
           LG11 |        21668303 |        21668305 |        21668306 |        21668308 |             TAA  |               3  |  +
             UN |        31211349 |        31211351 |        31211345 |        31211347 |             TAG  |               2  |  -
           LG12 |        11967693 |        11967695 |        11967689 |        11967691 |             TAA  |               2  |  -
           LG17 |        18379625 |        18379627 |        18379621 |        18379623 |             TGA  |               2  |  -
            LG9 |        20823917 |        20823919 |        20823913 |        20823915 |             TAG  |               2  |  -
            LG4 |        26401246 |        26401248 |        26401161 |        26401163 |             TGA  |              83  |  -
             UN |        45988554 |        45988556 |        45988557 |        45988559 |             TAA  |               3  |  +
           LG12 |         1813414 |         1813416 |         1813417 |         1813419 |             TAA  |               3  |  +
             UN |          210329 |          210331 |          210325 |          210327 |             TGA  |               2  |  -
        LG22-25 |        13237375 |        13237377 |        13237462 |        13237464 |             TAA  |              87  |  +
             UN |        43692260 |        43692262 |        43692256 |        43692258 |             TGA  |               2  |  -
             UN |        17568882 |        17568884 |        17568885 |        17568887 |             TAG  |               3  |  +
            LG7 |        14086045 |        14086047 |        14086041 |        14086043 |             TAA  |               2  |  -
           LG14 |        10036490 |        10036492 |        10036486 |        10036488 |             TGA  |               2  |  -
             UN |        19568971 |        19568973 |        19568967 |        19568969 |             TGA  |               2  |  -
           LG16 |        22135104 |        22135106 |        22135107 |        22135109 |             TGA  |               3  |  +
           LG1B |         5518738 |         5518740 |         5518741 |         5518743 |             TGA  |               3  |  +
             UN |        17662249 |        17662251 |        17662245 |        17662247 |             TAA  |               2  |  -
             UN |        68333156 |        68333158 |        68333152 |        68333154 |             TAA  |               2  |  -
            LG7 |        26625305 |        26625307 |        26625308 |        26625310 |             TAA  |               3  |  +
        LG18-21 |        14908843 |        14908845 |        14908839 |        14908841 |             TGA  |               2  |  -
            LG7 |        11835564 |        11835566 |        11835560 |        11835562 |             TAA  |               2  |  -
             UN |        10814090 |        10814092 |        10814086 |        10814088 |             TAA  |               2  |  -
           LG13 |        14118828 |        14118830 |        14118824 |        14118826 |             TGA  |               2  |  -
             UN |        90765350 |        90765352 |        90765346 |        90765348 |             TAA  |               2  |  -
           LG12 |        13622387 |        13622389 |        13622390 |        13622392 |             TGA  |               3  |  +
             UN |        68829006 |        68829008 |        68829009 |        68829011 |             TAG  |               3  |  +
            LGx |        13169169 |        13169171 |        13169172 |        13169174 |             TGA  |               3  |  +
           LG19 |        15056201 |        15056203 |        15056197 |        15056199 |             TAG  |               2  |  -
             UN |        16596356 |        16596358 |        16596352 |        16596354 |             TAA  |               2  |  -
             UN |        62620045 |        62620047 |        62620048 |        62620050 |             TGA  |               3  |  +
           LG10 |        10608030 |        10608032 |        10608026 |        10608028 |             TAG  |               2  |  -
            LG8 |        13823395 |        13823397 |        13823398 |        13823400 |             TGA  |               3  |  +
           LG11 |         4482509 |         4482511 |         4482481 |         4482483 |             TGA  |              26  |  -
             UN |        62673775 |        62673777 |        62673771 |        62673773 |             TAA  |               2  |  -
           LG15 |        14883805 |        14883807 |        14883808 |        14883810 |             TGA  |               3  |  +
            LG8 |        17470633 |        17470635 |        17470636 |        17470638 |             TGA  |               3  |  +
             UN |        82829741 |        82829743 |        82830065 |        82830067 |             TAG  |             324  |  +
             UN |        57294474 |        57294476 |        57294347 |        57294349 |             TAA  |             125  |  -
             UN |        84628409 |        84628411 |        84628412 |        84628414 |             TAA  |               3  |  +
           LG16 |         8959902 |         8959904 |         8959898 |         8959900 |             TAA  |               2  |  -
             UN |        59697546 |        59697548 |        59697549 |        59697551 |             TAA  |               3  |  +
            LG6 |         9667900 |         9667902 |         9667896 |         9667898 |             TAA  |               2  |  -
            LG5 |        20417939 |        20417941 |        20417935 |        20417937 |             TGA  |               2  |  -
           LG14 |        12899418 |        12899420 |        12899535 |        12899537 |             TAG  |             117  |  +
            LG2 |        21923646 |        21923648 |        21923642 |        21923644 |             TGA  |               2  |  -
             UN |        73216035 |        73216037 |        73216038 |        73216040 |             TAA  |               3  |  +
             UN |        89230966 |        89230968 |        89230962 |        89230964 |             TAA  |               2  |  -
           LG10 |        20642815 |        20642817 |        20642811 |        20642813 |             TAG  |               2  |  -
            LG2 |         9566588 |         9566590 |         9566591 |         9566593 |             TAA  |               3  |  +
             UN |        31588642 |        31588644 |        31588593 |        31588595 |             TGA  |              47  |  -
             UN |        67401476 |        67401478 |        67401472 |        67401474 |             TAA  |               2  |  -
           LG20 |        11372437 |        11372439 |        11372433 |        11372435 |             TAG  |               2  |  -
        LG22-25 |        12107277 |        12107279 |        12107273 |        12107275 |             TGA  |               2  |  -
            LG7 |        26498276 |        26498278 |        26498200 |        26498202 |             TAA  |              74  |  -
             UN |        49419722 |        49419724 |        49419541 |        49419543 |             TAA  |             179  |  -
            LG9 |         6531761 |         6531763 |         6531764 |         6531766 |             TGA  |               3  |  +
             UN |        64360831 |        64360833 |        64360827 |        64360829 |             TGA  |               2  |  -
             UN |        56677895 |        56677897 |        56677967 |        56677969 |             TGA  |              72  |  +
             UN |        30092130 |        30092132 |        30092277 |        30092279 |             TGA  |             147  |  +
            LG6 |         3322838 |         3322840 |         3322841 |         3322843 |             TGA  |               3  |  +
             UN |        25226501 |        25226503 |        25226497 |        25226499 |             TGA  |               2  |  -
             UN |         1639901 |         1639903 |         1639858 |         1639860 |             TAA  |              41  |  -
            LG6 |        23475586 |        23475588 |        23475582 |        23475584 |             TAG  |               2  |  -
             UN |        67900536 |        67900538 |        67900532 |        67900534 |             TAA  |               2  |  -
        LG22-25 |        20616285 |        20616287 |        20616281 |        20616283 |             TAG  |               2  |  -
             UN |        38492697 |        38492699 |        38492772 |        38492774 |             TAA  |              75  |  +
             UN |        86868546 |        86868548 |        86868383 |        86868385 |             TAG  |             161  |  -
            LG9 |        21169454 |        21169456 |        21169457 |        21169459 |             TGA  |               3  |  +
             UN |        11406733 |        11406735 |        11406720 |        11406722 |             TGA  |              11  |  -
             UN |        64195509 |        64195511 |        64195451 |        64195453 |             TAA  |              56  |  -
             UN |        89144564 |        89144566 |        89144560 |        89144562 |             TAA  |               2  |  -
             UN |        75016843 |        75016845 |        75016839 |        75016841 |             TAA  |               2  |  -
             UN |        30894779 |        30894781 |        30894857 |        30894859 |             TGA  |              78  |  +
           LG15 |        10615375 |        10615377 |        10615378 |        10615380 |             TGA  |               3  |  +
            LG7 |         2999216 |         2999218 |         2999212 |         2999214 |             TAA  |               2  |  -
             UN |        96551379 |        96551381 |        96551315 |        96551317 |             TAA  |              62  |  -
            LG6 |        17420018 |        17420020 |        17420014 |        17420016 |             TAG  |               2  |  -
