chromosome	CDS_start	CDS_end	new_start	Filter
LG12	20549235	20566745	20566727	PASS
UN	91265631	91266676	35244327	Not Valid
LG4	91265631	91266676	2496969	Not Valid
UN	91265631	91266676	26937013	Not Valid
LG14	5777759	5801174	5797950	PASS
LG18-21	11571809	11579626	11579599	PASS
UN	91265631	91266676	18250153	Not Valid
LG11	91265631	91266676	14650887	Not Valid
LG4	17718747	17722392	17720592	PASS
UN	91265631	91266676	28545129	Not Valid
LG24	91265631	91266676	9870967	Not Valid
LG20	91265631	91266676	27425174	Not Valid
LG5	28179233	28182465	28181602	PASS
LG22-25	17027445	17044638	17033340	PASS
UN	62570492	62735682	62662780	PASS
LG1B	15610533	15616067	15610614	PASS
UN	91265631	91266676	95559932	Not Valid
UN	91265631	91266676	74591451	Not Valid
LG19	91265631	91266676	16411884	Not Valid
LG14	11910788	11917641	11911010	PASS
UN	91265631	91266676	89515042	Not Valid
LG15	91265631	91266676	11891796	Not Valid
LG10	20885766	20948147	20885800	PASS
LG1A	91265631	91266676	8211568	Not Valid
LG19	19434507	19437588	19434939	PASS
UN	72588125	72593885	72590613	PASS
LG5	16231446	16239224	16239058	PASS
LG11	91265631	91266676	22615486	Not Valid
LG4	13788529	13805539	13796854	PASS
LG19	17950376	17956318	17956108	PASS
LG8	1481126	1495101	1490812	PASS
LG15	91265631	91266676	21399623	Not Valid
LGx	91265631	91266676	12476331	Not Valid
LG19	91265631	91266676	3688185	Not Valid
UN	25927039	25931580	25929959	PASS
LG2	17961186	18005890	18005379	PASS
LG22-25	91265631	91266676	6666831	Not Valid
UN	67401476	67785623	67452687	PASS
UN	95360280	95372262	95363304	PASS
LG10	12851282	12855813	12851291	PASS
LG12	16184178	16202471	16202409	PASS
LG12	91265631	91266676	20475951	Not Valid
LG15	91265631	91266676	4442070	Not Valid
LG18-21	91265631	91266676	8338868	Not Valid
LG14	91265631	91266676	17791896	Not Valid
UN	57721814	57724703	57722931	PASS
LG19	91265631	91266676	626538	Not Valid
LG8	91265631	91266676	21462116	Not Valid
LG8	91265631	91266676	343926	Not Valid
LG16	25554129	25605555	25581857	PASS
LG22-25	2212783	2222744	2222620	PASS
LG4	20705000	20717874	20716449	PASS
LG1B	91265631	91266676	4125701	Not Valid
LG13	91265631	91266676	11142356	Not Valid
LG11	3775016	3793274	3779812	PASS
LG22-25	23706989	23712299	23712298	PASS
LG3	91265631	91266676	3237869	Not Valid
LG7	91265631	91266676	9413397	Not Valid
LG14	18299803	18305813	18301473	PASS
UN	91265631	91266676	19877340	Not Valid
LG24	3045051	3049993	3046476	PASS
LG17	22795462	22800055	22796098	PASS
LG13	26917856	26968151	26932282	PASS
LG1B	4516472	4519973	4519743	PASS
LG13	91265631	91266676	18480499	Not Valid
UN	62570492	62735682	62577348	PASS
LG22-25	91265631	91266676	13778854	Not Valid
UN	91265631	91266676	12097042	Not Valid
LG20	14171945	14184477	14172923	PASS
LG16	91265631	91266676	8293318	Not Valid
LG20	91265631	91266676	5105132	Not Valid
LG3	91265631	91266676	1354462	Not Valid
UN	91265631	91266676	89299172	Not Valid
LG22-25	91265631	91266676	23535625	Not Valid
LG4	91265631	91266676	11565670	Not Valid
LG18-21	91265631	91266676	3275159	Not Valid
LG13	5360891	5363511	5361632	PASS
UN	91265631	91266676	18378183	Not Valid
LG22-25	18531925	18568702	18533358	PASS
LG20	91265631	91266676	14992943	Not Valid
LG8	17878768	17883480	17880516	PASS
LG7	9508109	9536677	9513237	PASS
LG1B	91265631	91266676	4592939	Not Valid
LG5	23525953	23550317	23526062	PASS
LG14	91265631	91266676	22019967	Not Valid
UN	91265631	91266676	15409356	Not Valid
LG13	24170555	24195349	24170729	PASS
LG8	18311653	18324046	18311713	PASS
LG6	335933	341110	341096	PASS
LG16	91265631	91266676	4231214	Not Valid
LG7	23465931	23490022	23469579	PASS
LG13	6436543	6443653	6436632	PASS
LGx	91265631	91266676	5776466	Not Valid
LG22-25	91265631	91266676	1840264	Not Valid
LG20	91265631	91266676	11118084	Not Valid
LG16	9332890	9339037	9334703	PASS
LG9	91265631	91266676	13086682	Not Valid
UN	34514883	34524209	34514980	PASS
LG5	13598770	13608145	13607772	PASS
LGx	91265631	91266676	4743244	Not Valid
LG12	91265631	91266676	20818845	Not Valid
LG16	91265631	91266676	7843871	Not Valid
LG19	91265631	91266676	22827558	Not Valid
UN	91265631	91266676	80886313	Not Valid
LG22-25	13966023	13971563	13966750	PASS
UN	49178824	49185588	49179193	PASS
LG4	8156242	8162502	8158364	PASS
UN	90262825	90267571	90267031	PASS
LG4	91265631	91266676	5619811	Not Valid
LG16	12630562	12635436	12631756	PASS
LG1B	5130327	5135007	5130350	PASS
LG24	91265631	91266676	4335094	Not Valid
LG7	5389448	5398060	5394359	PASS
LG22-25	91265631	91266676	11478390	Not Valid
LG5	91265631	91266676	8343954	Not Valid
LG22-25	4374420	4381595	4377479	PASS
LG6	11766373	11770857	11770469	PASS
UN	91265631	91266676	86029228	Not Valid
UN	91265631	91266676	92703083	Not Valid
LG19	91265631	91266676	15446507	Not Valid
LG16	9724831	9748330	9726158	PASS
LG17	91265631	91266676	9038274	Not Valid
LG16	91265631	91266676	6941672	Not Valid
LG2	91265631	91266676	16632355	Not Valid
LG14	15112277	15113189	15112344	PASS
LG10	15293696	15296386	15294010	PASS
LG4	23207263	23212744	23210830	PASS
LG6	91265631	91266676	18357388	Not Valid
LG4	91265631	91266676	1582854	Not Valid
UN	91265631	91266676	56382994	Not Valid
LG13	91265631	91266676	17083624	Not Valid
UN	2538789	2647880	2588654	PASS
LG7	6121713	6128793	6122208	PASS
LG10	5561527	5571175	5571000	PASS
UN	91265631	91266676	95870216	Not Valid
LG8	91265631	91266676	5187997	Not Valid
LG7	91265631	91266676	27229274	Not Valid
LG4	91265631	91266676	19532325	Not Valid
UN	35272981	35277705	35277683	PASS
LG15	13666495	13682364	13666496	PASS
LG20	91265631	91266676	10131628	Not Valid
LG12	91265631	91266676	7354195	Not Valid
LG10	91265631	91266676	10593446	Not Valid
LG9	91265631	91266676	3962278	Not Valid
UN	17379926	17387630	17380000	PASS
UN	91265631	91266676	67917627	Not Valid
UN	91265631	91266676	28403929	Not Valid
LG1B	91265631	91266676	6514407	Not Valid
LG24	11495453	11517608	11517558	PASS
LG7	15779266	15784185	15783935	PASS
LG1A	91265631	91266676	15194821	Not Valid
UN	49038844	49040524	49039479	PASS
LG14	3065410	3078628	3077629	PASS
LG5	91265631	91266676	26309182	Not Valid
LG4	91265631	91266676	23326019	Not Valid
UN	54124617	54141905	54141824	PASS
LGx	91265631	91266676	13287451	Not Valid
UN	61140021	61141186	61140584	PASS
UN	91265631	91266676	72481003	Not Valid
LG6	91265631	91266676	23247276	Not Valid
UN	24350700	24354053	24352328	PASS
LG8	5935065	5941605	5936955	PASS
UN	7658715	7806334	7704598	PASS
LG24	91265631	91266676	5192951	Not Valid
UN	87164515	87227095	87174427	PASS
LG2	19022487	19041197	19031402	PASS
LG5	91265631	91266676	6849036	Not Valid
UN	91265631	91266676	65660953	Not Valid
LG6	27308555	27340400	27325769	PASS
LG22-25	7755863	7777965	7772595	PASS
LG14	91265631	91266676	18667223	Not Valid
LG16	91265631	91266676	25605995	Not Valid
UN	91265631	91266676	7164523	Not Valid
UN	91265631	91266676	86993923	Not Valid
LG5	24226246	24233648	24233576	PASS
UN	91265631	91266676	9943844	Not Valid
UN	91265631	91266676	43367148	Not Valid
LG3	337738	386177	359801	PASS
LG22-25	91265631	91266676	24210378	Not Valid
LG1A	91265631	91266676	15811783	Not Valid
UN	91265631	91266676	58383945	Not Valid
LG20	91265631	91266676	20234018	Not Valid
UN	91265631	91266676	10042504	Not Valid
UN	91265631	91266676	38765240	Not Valid
LG14	91265631	91266676	15091375	Not Valid
UN	91265631	91266676	79316248	Not Valid
LG12	91265631	91266676	16613460	Not Valid
UN	91265631	91266676	59919680	Not Valid
LG6	91265631	91266676	7484387	Not Valid
UN	91265631	91266676	42232857	Not Valid
LG1A	91265631	91266676	4940427	Not Valid
LG7	91265631	91266676	23320829	Not Valid
LG9	18016158	18101953	18099866	PASS
UN	9475134	9477413	9476239	PASS
UN	77870517	77871866	77871802	PASS
UN	91265631	91266676	1989597	Not Valid
LG19	1378299	1389339	1386673	PASS
LG7	91265631	91266676	1303318	Not Valid
LG14	91265631	91266676	28069737	Not Valid
UN	91265631	91266676	43184294	Not Valid
LG13	91265631	91266676	20936612	Not Valid
UN	91265631	91266676	96809238	Not Valid
LG16	91265631	91266676	132575	Not Valid
LG7	1159820	1163986	1161774	PASS
LG20	91265631	91266676	28027054	Not Valid
LG16	91265631	91266676	10500011	Not Valid
LG11	9232813	9247219	9247209	PASS
UN	91265631	91266676	37888420	Not Valid
LG9	18297507	18306918	18306861	PASS
LG12	91265631	91266676	12193484	Not Valid
LG20	91265631	91266676	22609474	Not Valid
UN	91265631	91266676	88999750	Not Valid
LG12	22176968	22191412	22190515	PASS
LG19	91265631	91266676	8203738	Not Valid
LG19	91265631	91266676	5197316	Not Valid
LG16	91265631	91266676	14174511	Not Valid
LG5	13393706	13560466	13515512	PASS
UN	91265631	91266676	57177643	Not Valid
UN	91265631	91266676	53952396	Not Valid
LG5	91265631	91266676	13148855	Not Valid
LG8	91265631	91266676	17958993	Not Valid
UN	33469016	33491628	33485284	PASS
UN	45883820	45886051	45884782	PASS
LG2	91265631	91266676	4086438	Not Valid
LG18-21	2123930	2144290	2144027	PASS
UN	91265631	91266676	24645053	Not Valid
LG16	91265631	91266676	3814351	Not Valid
LG7	3019196	3029299	3021109	PASS
LG16	91265631	91266676	10327242	Not Valid
LG22-25	91265631	91266676	8027909	Not Valid
LG1A	91265631	91266676	25509143	Not Valid
LG3	91265631	91266676	6941708	Not Valid
LG5	5104109	5125262	5114775	PASS
LG7	91265631	91266676	16070937	Not Valid
UN	91265631	91266676	47745214	Not Valid
LG8	1555310	1559252	1559245	PASS
LG9	21063144	21072272	21071986	PASS
LG11	91265631	91266676	12152286	Not Valid
LG7	91265631	91266676	26582471	Not Valid
LG1B	91265631	91266676	10690338	Not Valid
UN	77823694	77843914	77840392	PASS
UN	82084569	82087358	82085102	PASS
LG22-25	91265631	91266676	10148440	Not Valid
LG9	8393294	8460195	8429589	PASS
LGx	91265631	91266676	17276776	Not Valid
LG4	16006186	16042119	16030873	PASS
UN	63961292	63965009	63963106	PASS
UN	84585964	84592376	84592286	PASS
LGx	10291911	10296381	10296142	PASS
UN	77698175	77702637	77700866	PASS
LG13	10406397	10419440	10406508	PASS
LG19	91265631	91266676	6500323	Not Valid
LG14	91265631	91266676	4282897	Not Valid
LG17	2616511	2628065	2624391	PASS
LG13	22586925	22621722	22595814	PASS
UN	91265631	91266676	80550201	Not Valid
LG10	7077512	7081806	7081007	PASS
LG15	15181678	15195056	15181765	PASS
LG22-25	91265631	91266676	4670519	Not Valid
LG17	12324333	12409952	12337545	PASS
LG7	28436733	28463971	28436972	PASS
LG22-25	25944064	26069589	26045557	PASS
LG20	1838102	1875326	1873300	PASS
LG12	91265631	91266676	6879027	Not Valid
LG3	91265631	91266676	10330253	Not Valid
LG19	91265631	91266676	13173332	Not Valid
LG9	91265631	91266676	11239825	Not Valid
LG12	16671245	16675277	16673284	PASS
UN	25323225	25563570	25528313	PASS
UN	91265631	91266676	46518792	Not Valid
LG19	91265631	91266676	14868149	Not Valid
LG6	554382	564199	561147	PASS
UN	91265631	91266676	50216623	Not Valid
LG4	91265631	91266676	20847795	Not Valid
LG7	13292586	13314726	13299175	PASS
LG1A	91265631	91266676	9719180	Not Valid
UN	32629931	32646564	32629962	PASS
UN	91265631	91266676	72877260	Not Valid
UN	73916964	74186505	74133632	PASS
LG12	91265631	91266676	16451757	Not Valid
LG10	91265631	91266676	5194601	Not Valid
LG14	3078752	3095920	3095147	PASS
LG10	91265631	91266676	9734198	Not Valid
LG14	8312756	8346114	8335372	PASS
LG1A	14759540	14773295	14766550	PASS
LG14	14281079	14298633	14298613	PASS
LG8	91265631	91266676	19734090	Not Valid
LG15	91265631	91266676	23046526	Not Valid
LG13	91265631	91266676	9008968	Not Valid
LG10	91265631	91266676	14243168	Not Valid
LG15	6824480	6878537	6872026	PASS
UN	49453945	49478418	49478266	PASS
UN	76835492	76839572	76838897	PASS
LG15	3343217	3348003	3344346	PASS
UN	10519447	10525904	10520911	PASS
UN	91265631	91266676	58244914	Not Valid
UN	91265631	91266676	7175793	Not Valid
LG1A	91265631	91266676	29036476	Not Valid
LG16	91265631	91266676	6501239	Not Valid
UN	91265631	91266676	41050593	Not Valid
UN	91265631	91266676	92376613	Not Valid
LG14	91265631	91266676	4330961	Not Valid
UN	92254533	92259696	92255599	PASS
LG12	91265631	91266676	10172511	Not Valid
LG6	5816821	5832236	5816821	PASS
UN	75851765	75867861	75867381	PASS
LG16	91265631	91266676	14150047	Not Valid
LG1A	17108284	17124433	17108591	PASS
LG12	2925217	2966277	2966109	PASS
LG9	91265631	91266676	16687645	Not Valid
UN	81152639	81374355	81309653	PASS
LG12	91265631	91266676	14538810	Not Valid
LG7	91265631	91266676	10478608	Not Valid
LG12	2618201	2621453	2621408	PASS
LG15	91265631	91266676	14731403	Not Valid
UN	91265631	91266676	49745625	Not Valid
UN	60090703	60102595	60091927	PASS
LG13	91265631	91266676	6384354	Not Valid
LG19	1258508	1271589	1267306	PASS
UN	91265631	91266676	55064449	Not Valid
LG8	550896	560181	560131	PASS
LG13	21901579	21909399	21901766	PASS
LG15	91265631	91266676	10823610	Not Valid
UN	94694582	94700324	94694909	PASS
LG20	23154755	23190043	23155696	PASS
UN	29917417	29922570	29918740	PASS
UN	91265631	91266676	72031933	Not Valid
LG2	91265631	91266676	18566593	Not Valid
LG1A	1290306	1390566	1390528	PASS
LG14	3049592	3053233	3050822	PASS
LG8	22673211	22694794	22694733	PASS
LG15	2680073	2687200	2685427	PASS
UN	91265631	91266676	66919594	Not Valid
LG1B	8384766	8395653	8385024	PASS
LG15	91265631	91266676	12944716	Not Valid
LG11	9838991	9848089	9846890	PASS
LG9	91265631	91266676	21656802	Not Valid
LG5	91265631	91266676	10768956	Not Valid
LG5	31888430	31966573	31956364	PASS
LG5	3445843	3455960	3445989	PASS
UN	22859818	22871652	22861779	PASS
UN	27888500	27898428	27895917	PASS
UN	7616	12315	7866	PASS
LG13	91265631	91266676	15789694	Not Valid
LG15	23669733	23672239	23670033	PASS
LG1A	8118265	8142867	8142829	PASS
UN	71324305	71334935	71333276	PASS
UN	91265631	91266676	44486599	Not Valid
LG1B	91265631	91266676	3288782	Not Valid
LG10	91265631	91266676	1847041	Not Valid
UN	83429133	83431829	83431798	PASS
LG10	8756020	8762038	8757079	PASS
UN	7108145	7125114	7122059	PASS
LG2	91265631	91266676	6466133	Not Valid
UN	64078324	64083951	64083400	PASS
LG5	91265631	91266676	5018492	Not Valid
LG8	21469597	21472734	21472617	PASS
LG8	91265631	91266676	22477368	Not Valid
LG10	91265631	91266676	23503591	Not Valid
UN	91265631	91266676	89691813	Not Valid
UN	70408045	70557480	70454336	PASS
LG7	91265631	91266676	11450494	Not Valid
UN	91265631	91266676	65224384	Not Valid
LG5	91265631	91266676	13116845	Not Valid
LG5	91265631	91266676	8337937	Not Valid
UN	96053157	96055337	96054099	PASS
UN	91265631	91266676	39109492	Not Valid
LG1A	91265631	91266676	22467806	Not Valid
LG19	91265631	91266676	127099	Not Valid
UN	91265631	91266676	45777638	Not Valid
LG6	91265631	91266676	22477744	Not Valid
LG10	91265631	91266676	16282522	Not Valid
LG5	91265631	91266676	30330964	Not Valid
LGx	4570305	4592685	4579453	PASS
LG6	91265631	91266676	11086143	Not Valid
LG14	91265631	91266676	16782801	Not Valid
UN	62941146	62942728	62942717	PASS
UN	91265631	91266676	65258209	Not Valid
LG10	91265631	91266676	19481258	Not Valid
LG1A	91265631	91266676	15115260	Not Valid
LG10	16446394	16451269	16450410	PASS
UN	5065560	5066377	5066351	PASS
LG14	91265631	91266676	750923	Not Valid
LG7	91265631	91266676	13213294	Not Valid
LGx	91265631	91266676	1637517	Not Valid
LG19	21053335	21084068	21083960	PASS
LG2	91265631	91266676	11575934	Not Valid
UN	91265631	91266676	56608295	Not Valid
LG10	91265631	91266676	15838018	Not Valid
LG2	10324692	10334093	10332141	PASS
LG1B	91265631	91266676	11564396	Not Valid
LG16	91265631	91266676	9286850	Not Valid
LG7	91265631	91266676	14678038	Not Valid
LG7	14667330	14677894	14667442	PASS
LG17	16755253	16759246	16757907	PASS
LG24	91265631	91266676	2095395	Not Valid
LG1A	91265631	91266676	15100758	Not Valid
LG3	91265631	91266676	1280031	Not Valid
LG6	91265631	91266676	12411548	Not Valid
LG20	91265631	91266676	26480378	Not Valid
UN	95130839	95135807	95130890	PASS
LG20	91265631	91266676	2527472	Not Valid
LG8	20714228	20718032	20717006	PASS
LG11	4910224	4939359	4935448	PASS
LG4	91265631	91266676	9404153	Not Valid
LG8	91265631	91266676	18175053	Not Valid
LG5	91265631	91266676	27297893	Not Valid
LG1B	17894766	17899547	17897629	PASS
LG5	4549858	4560600	4555418	PASS
LG4	91265631	91266676	18050263	Not Valid
LG15	22499507	22508535	22507476	PASS
LG15	3471941	3619995	3556046	PASS
LG1B	91265631	91266676	6076850	Not Valid
LG15	23634698	23640288	23634961	PASS
LG12	6425831	6495478	6440528	PASS
LG14	91265631	91266676	3374824	Not Valid
LG17	18516740	18567424	18558879	PASS
LG17	642951	705380	703069	PASS
LG20	18737019	18876167	18744364	PASS
LG1A	91265631	91266676	17999016	Not Valid
LG9	4127412	4148367	4127497	PASS
LG9	91265631	91266676	18222947	Not Valid
LG20	91265631	91266676	4274451	Not Valid
LG14	91265631	91266676	15096380	Not Valid
LG2	91265631	91266676	23506271	Not Valid
UN	44788354	44792806	44792780	PASS
LG5	29049782	29077550	29058252	PASS
LG1A	91265631	91266676	15442341	Not Valid
LG16	12927815	12935935	12930118	PASS
LG6	91265631	91266676	27645976	Not Valid
UN	7658715	7806334	7718296	PASS
LG9	21046882	21056976	21056624	PASS
UN	3432480	3460814	3456306	PASS
LG1B	91265631	91266676	16315410	Not Valid
LG7	17677123	17680672	17679650	PASS
LG14	11392415	11406691	11392554	PASS
LG1A	91265631	91266676	9633	Not Valid
LG12	91265631	91266676	19866450	Not Valid
LG15	4174291	4204117	4174389	PASS
UN	16166231	16459472	16245228	PASS
UN	77585612	77595278	77589441	PASS
LG12	91265631	91266676	7398502	Not Valid
LG12	17396129	17420679	17407551	PASS
UN	81152639	81374355	81297732	PASS
UN	91265631	91266676	89100796	Not Valid
UN	91265631	91266676	22444424	Not Valid
LG8	91265631	91266676	5068764	Not Valid
LG1B	6403663	6417862	6403730	PASS
LG9	91265631	91266676	21061942	Not Valid
LG22-25	91265631	91266676	12765580	Not Valid
LG9	91265631	91266676	5316506	Not Valid
LG1A	91265631	91266676	24544415	Not Valid
LG1A	91265631	91266676	22598218	Not Valid
LG1A	9038779	9049727	9046374	PASS
UN	91265631	91266676	80459939	Not Valid
LGx	15301789	15330514	15324560	PASS
LG19	91265631	91266676	16209704	Not Valid
LG17	91265631	91266676	10534161	Not Valid
LG8	2449394	2460471	2460363	PASS
UN	91265631	91266676	65443698	Not Valid
LG16	7746269	7755306	7754721	PASS
LG12	91265631	91266676	3976234	Not Valid
LG16	91265631	91266676	3966856	Not Valid
LG15	91265631	91266676	21929543	Not Valid
LG4	91265631	91266676	14342408	Not Valid
LG16	4045529	4063655	4046200	PASS
LG1B	14422900	14436016	14424072	PASS
LG20	91265631	91266676	25361073	Not Valid
UN	91265631	91266676	81555062	Not Valid
LG22-25	13370251	13415261	13415245	PASS
LG4	16928797	16936707	16932364	PASS
UN	86949134	86952796	86949605	PASS
LG24	1072328	1091766	1078762	PASS
LG12	10385917	10434308	10433920	PASS
LG2	91265631	91266676	7499981	Not Valid
LG16	3418467	3425610	3422036	PASS
LG15	9536140	9556570	9538347	PASS
LG6	91265631	91266676	4600658	Not Valid
LG5	8640260	8648595	8646558	PASS
UN	91265631	91266676	52020917	Not Valid
LG18-21	91265631	91266676	16030858	Not Valid
LG1B	380056	396207	395182	PASS
LG7	91265631	91266676	17458061	Not Valid
LG7	26821376	26834263	26834219	PASS
LG5	91265631	91266676	3421236	Not Valid
LG13	27296428	27314309	27298231	PASS
UN	91265631	91266676	37740658	Not Valid
LG9	3305152	3305513	3305507	PASS
LG14	91265631	91266676	18000226	Not Valid
LG5	13393706	13411048	13406252	PASS
UN	91265631	91266676	85644278	Not Valid
LG17	91265631	91266676	327898	Not Valid
UN	50996102	51008278	51003773	PASS
LGx	91265631	91266676	3344485	Not Valid
LG1A	91265631	91266676	21079068	Not Valid
LG1A	26726825	27091779	26915333	PASS
LG22-25	91265631	91266676	19475470	Not Valid
LG6	91265631	91266676	25788692	Not Valid
UN	91265631	91266676	65883928	Not Valid
UN	91265631	91266676	53325609	Not Valid
LG9	91265631	91266676	19638688	Not Valid
LG20	91265631	91266676	27000148	Not Valid
UN	91265631	91266676	26453455	Not Valid
LG11	2422522	2573130	2451019	PASS
LG2	91265631	91266676	4761523	Not Valid
UN	91265631	91266676	71060670	Not Valid
LG22-25	13491752	13507985	13500285	PASS
LG8	11464687	11476540	11464777	PASS
LG18-21	9910320	9930754	9911914	PASS
LG14	91265631	91266676	8481784	Not Valid
LG17	22885025	22893611	22888740	PASS
LG1A	16969179	16975761	16969838	PASS
LG4	91265631	91266676	2232014	Not Valid
LG22-25	91265631	91266676	4516133	Not Valid
LG2	12806805	12819386	12819365	PASS
LG12	13305511	13327539	13305552	PASS
LG22-25	371200	375136	373241	PASS
LG4	91265631	91266676	17630449	Not Valid
LG17	15002989	15003751	15003739	PASS
LG20	16576174	16645031	16625614	PASS
LG11	91265631	91266676	5137129	Not Valid
LG19	14540824	14543680	14541367	PASS
LG24	4840468	4852701	4840469	PASS
LG16	12611696	12615086	12614997	PASS
LG8	4205673	4206590	4206441	PASS
LG20	91265631	91266676	16429852	Not Valid
LG16	91265631	91266676	6702799	Not Valid
LGx	91265631	91266676	13081770	Not Valid
LG19	8963942	9028784	8979454	PASS
LG12	91265631	91266676	10434463	Not Valid
LG20	91265631	91266676	15348662	Not Valid
LG5	91265631	91266676	29080237	Not Valid
LG13	1375497	1376794	1376377	PASS
LG22-25	91265631	91266676	5576901	Not Valid
LG16	91265631	91266676	8597401	Not Valid
LG10	21418388	21423707	21423394	PASS
LG19	3915199	3926658	3915633	PASS
LG19	91265631	91266676	7368841	Not Valid
LG5	91265631	91266676	27061269	Not Valid
LG13	14462677	14500069	14467964	PASS
LG4	91265631	91266676	8786894	Not Valid
LG11	526064	616072	526078	PASS
UN	91265631	91266676	44776563	Not Valid
LG22-25	91265631	91266676	170704	Not Valid
LG6	91265631	91266676	1105011	Not Valid
LG7	91265631	91266676	15184987	Not Valid
LG16	91265631	91266676	3493846	Not Valid
UN	51597563	51599042	51598914	PASS
UN	91265631	91266676	48657794	Not Valid
LG16	91265631	91266676	8994744	Not Valid
UN	91265631	91266676	51201301	Not Valid
UN	79147416	79179130	79175561	PASS
LG7	8802850	8806551	8804150	PASS
LG12	91265631	91266676	4477111	Not Valid
UN	91265631	91266676	4601212	Not Valid
LG3	91265631	91266676	4282712	Not Valid
UN	2462626	2466416	2466236	PASS
UN	91265631	91266676	64749278	Not Valid
LG9	13889590	13894168	13894162	PASS
LG14	91265631	91266676	6862550	Not Valid
LG14	9522078	9530985	9530345	PASS
LG1A	25370435	25413875	25413490	PASS
UN	61133006	61137730	61133041	PASS
LG16	91265631	91266676	7998110	Not Valid
UN	55870559	56098613	55907115	PASS
LG10	22400031	22405541	22405016	PASS
UN	91265631	91266676	64491393	Not Valid
LG9	91265631	91266676	2882314	Not Valid
LG6	91265631	91266676	21021081	Not Valid
LGx	91265631	91266676	768815	Not Valid
LG19	9961240	9973963	9973778	PASS
UN	91265631	91266676	70160345	Not Valid
